id3 tags from site:https://docs.mp3tag.de/

Internal,	   ORIGALBUM,
ID3v2.3,	   TOAL,
ID3v2.4,	   TOAL,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/OriginalAlbumTitle,
RIFF INFO,         "",	
ORIGARTIST,        "", 
Internal,	   ORIGARTIST,
ID3v2.3,	   TOPE,
ID3v2.4,	   TOPE,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/OriginalArtist,
RIFF INFO,         "",	
ORIGFILENAME,      "", 
Internal,	   ORIGFILENAME,
ID3v2.3,	   TOFN,
ID3v2.4,	   TOFN,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/OriginalFilename,
RIFF INFO,         "",	
ORIGLYRICIST,      "", 
Internal,	   ORIGLYRICIST,
ID3v2.3,	   TOLY,
ID3v2.4,	   TOLY,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/OriginalLyricist,
RIFF INFO,         "",	
ORIGYEAR,          "", 
Internal,	   ORIGYEAR,
ID3v2.3,	   TORY,
ID3v2.4,	   TDOR,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/OriginalReleaseYear,
RIFF INFO,         "",	
PODCAST,           "", 
Internal,	   PODCAST,
ID3v2.3,	   PCST,
ID3v2.4,	   PCST,
MP4,	           pcst,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
Notes,	           Field that is used by iTunes to mark tracks as podcasts. Either enter the value 1 or delete the field.,
PODCASTCATEGORY,   "",
Internal,	   PODCASTCATEGORY,
ID3v2.3,	   TCAT,
ID3v2.4,	   TCAT,
MP4,	           catg,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
PODCASTDESC,       "", 
Internal,	   PODCASTDESC,
ID3v2.3,	   TDES,
ID3v2.4,	   TDES,
MP4,	           ldes,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
PODCASTID,         "", 
Internal,	   PODCASTID
ID3v2.3,	   TGID
ID3v2.4,	   TGID
MP4,	           egid,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
PODCASTKEYWORDS,   "", 
Internal,	   PODCASTKEYWORDS,
ID3v2.3,	   TKWD,
ID3v2.4,	   TKWD,
MP4,	           keyw,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
PODCASTURL,        "", 
Internal,	   PODCASTURL,
ID3v2.3,	   WFED,
ID3v2.4, 	   WFED,
MP4,	           purl,
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
POPULARIMETER,     "", 
Internal,	   POPULARIMETER,
ID3v2.3,	   POPM,
ID3v2.4,	   POPM,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
Notes,	           This description is for only ID3v2 tags. The playcounter is an optional value. The Rating is an integer between 1 (worst) and 255 (best). Syntax: Email|Rating|Playcounter,
PUBLISHER,         "", 
Internal,	   PUBLISHER,
ID3v2.3,	   TPUB,
ID3v2.4,	   TPUB,
MP4,	           ©pub,
Matroska,	   T=30,
ASF/Windows Media, WM/Publisher,
RIFF INFO,         "",	
RATING MM,         "", 
Internal,	   RATING MM,
ID3v2.3, 	   POPM,
ID3v2.4,	   POPM,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
Notes,	           Abstraction on POPULARIMETER as used in MediaMonkey. Track rating from 1 = Bad to 5 = Very good. You can also enter stars * (and - for half stars) for rating the track. Use Options → Tags → Advanced to always display POPULARIMETER values.,
RATING WMP,        "",
Internal,	   RATING WMP,
ID3v2.3,	   POPM,
ID3v2.4,	   POPM,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/SharedUserRating,
RIFF INFO,         "",	
Notes,	           Abstraction on POPULARIMETER as used in Windows Media Player. Track rating from 1 = Bad to 5 = Very good. You can also enter stars * for rating the track. Use Options → Tags → Advanced to always display POPULARIMETER values.,
RELEASETIME,       "", 
Internal,	   RELEASETIME,
ID3v2.3,	   TDRL,
ID3v2.4,	   TDRL,
MP4,               "",	
Matroska,	   T=50 DATE_RELEASED,
ASF/Windows Media, "",	
RIFF INFO,         "",	
SETSUBTITLE,       "", 
Internal,	   SETSUBTITLE,
ID3v2.3,           "",	
ID3v2.4,	   TSST,
MP4,               "",	
Matroska,	   T=50 SUBTITLE,
ASF/Windows Media, "",	
RIFF INFO,         "",	
SUBTITLE,          "", 
Internal,	   SUBTITLE,
ID3v2.3,	   TIT3,
ID3v2.4,	   TIT3,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/SubTitle,
RIFF INFO,         "",	
TAGGINGTIME ,      "",
Internal,	   TAGGINGTIME,
ID3v2.3,           "",	
ID3v2.4,	   TDTG,
MP4,               "",	
Matroska,	   T=30 DATE_TAGGED,
ASF/Windows Media, "",	
RIFF INFO,         "",	
TITLE,             "", 
Internal,	   TITLE,
ID3v2.3,	   TIT2,
ID3v2.4,	   TIT2,
MP4,	           ©nam,
Matroska,	   T=30,
ASF/Windows Media, Title,
RIFF INFO,	   INAM,
TITLESORT,         "", 
Internal,	   TITLESORT,
ID3v2.3,	   TSOT,
ID3v2.4,	   TSOT,
MP4,	           sonm,
Matroska,	   T=30 SORT_WITH,
ASF/Windows Media, WM/TitleSortOrder,
RIFF INFO,         "",	
TRACK,             "", 
Internal,	   TRACK,
ID3v2.3,	   TRCK,
ID3v2.4,	   TRCK,
MP4,	           trkn,
Matroska,	   T=30 PART_NUMBER,
ASF/Windows Media, WM/TrackNumber,
RIFF INFO,	   ITRK,
UNIQUEFILEID,      "", 
Internal,	   UNIQUEFILEID,
ID3v2.3,	   UFID,
ID3v2.4,	   UFID,
MP4,               "",	
Matroska,          "",	
ASF/Windows Media, "",	
RIFF INFO,         "",	
UNSYNCEDLYRICS,    "", 
Internal,	   UNSYNCEDLYRICS,
ID3v2.3,	   USLT,
ID3v2.4,	   USLT,
MP4,	           ©lyr,
Matroska,	   T=30 LYRICS,
ASF/Windows Media, WM/Lyrics,
RIFF INFO,         "",	
Notes,	           Syntax: xxx||Lyrics where xxx = Language of the lyrics, abbreviated by 3 characters according to ISO-639-2.,
WWW,               "", 
Internal,	   WWW,
ID3v2.3,	   WXXX,
ID3v2.4,	   WXXX,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
WWWARTIST,         "", 
Internal,	   WWWARTIST,
ID3v2.3,	   WOAR,
ID3v2.4,	   WOAR,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/AuthorURL,
RIFF INFO,         "",	
WWWAUDIOFILE,      "", 
Internal,	   WWWAUDIOFILE,
ID3v2.3,	   WOAF,
ID3v2.4,	   WOAF,
MP4,               "",
Matroska,	   T=30,
ASF/Windows Media, WM/AudioFileURL,
RIFF INFO,         "",	
WWWAUDIOSOURCE,    "",
Internal,	   WWWAUDIOSOURCE,
ID3v2.3,	   WOAS,
ID3v2.4,	   WOAS,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, WM/AudioSourceURL,
RIFF INFO,         "",	
